Kooli ID	Kooli nimi	Maakond	Asutuse tüüp	Seadmete nimekiri	Toetus 2014	Toetus 2015	Toetus 2016	Toetus 2017	Toetus 2018	Toetus 2019	Toetus 2020	Toetus 2021
259	Miina Härma Gümnaasium	Tartu maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (4 tk), 3D printer kit (1 tk). Makey Makey Classic (4 tk), mBot robootikakomplekt (4 tk), Rasperry Pi 3 stardikomplekt (4 tk), Ozobot Evo stardikomplekt (4 tk)	1,263.60 €			1,674.83 €				
574	Märjamaa Gümnaasium	Rapla maakond	gümnaasium	Ozobot Evo stardikomplekt kristallvalge (10tk); Ozobot Evo stardikomplekt titaaniummust (10tk); Cue robot (2tk); Dash ja Dot Wonder robootikakomplekt (2tk); Airblock modulaarne programmeeritav droon (2tk)						2,140.44 €		
296	Narva Keeltelütseum (endine Narva Humanitaar-gümnaasium)	Ida-Viru maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (2 tk) ja laadijad (2 tk), värvi- ja valgusandur (1 tk), servomootorid (2 tk). Vertex 3D printer KIT konstruktor (2 tk)	443.14 €			1,436.50 €				
293	Narva Kesklinna Gümnaasium	Ida-Viru maakond	gümnaasium	3D Printer Konstruktor K8200, 1 tk; WeDo 2.0 baaskomplekt (24 tk); Panasonic Eneloop Pro Ready To Use taaslaetav aku (6tk); PANASONIC Loader BQ-CC55 + 4 x R6AA Eneloop Pro 2500 mAh (6tk)			381.02 €			2,593.56 €		
292	Narva Kreenholmi Gümnaasium	Ida-Viru maakond	gümnaasium	LEGO Education WeDo Construction Set (12 tk). BQ Hephestos 2 KIT 3D-printer (1 tk), filament (3 tk); Bee-Bot 2.0 6 robotit ja laadimisaluse komplekt (4tk)		946.89 €	775.53 €				1,246.02 €	
602	Narva Pähklimäe Gümnaasium	Ida-Viru maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (9 tk), LME, EV3, Rechargeable Battery DC (2 tk), EV3 lisakomplekt (9 tk), LME, EV3, Color/Light Sensor (9 tk), Transformer 10V DC (2 tk); LEGO Education Mindstorms EV3 põhikomplekt (7tk); LEGO Education akulaadija 10V DC (7tk); LEGO Education EV3 kaablid (3tk); LEGO Education EV3 suur servomootor (16tk)		2,873.36 €				2,224.54 €		
649	Narva Soldino Gümnaasium	Ida-Viru maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (2 tk), Akulaadija 10V peenike pistik (2 tk)				523.35 €				
807	Nõo Reaalgümnaasium	Tartu maakond	gümnaasium	Iteaduino Leonardo (10 tk), Arduino Starter laiendusplaat (10 tk), Raspberry Pi B+ (5 tk), Raspberry Pi kaameramoodul (5 tk). mBot ranger (8 tk), mBot-Raspberry Pi ühendus (8 tk), mBot RJ25 adapter (16 tk), mBot RJ25 kaablid x4 (7 tk), Raspberry Pi 3B (4 tk), Raspberry Pi kaamera v2 (4 tk), Raspberry Pi 16GB mälukaart (4 tk), Raspberry Pi WiFi liides (5 tk), Raspberry Pi Sense HAT (1 tk), AA akud x4 + laadija (2 tk), AA akud x8 (5 tk)	450.00 €			1,664.27 €				
541	Orissaare Gümnaasium	Saare maakond	gümnaasium	6 Blue-Bot mesimummu, laadimisalus ja matid (1 tk), Mesimummu läbipaistev taskutega matt (2 tk), Bee-Boti tähematt Jänku-Jussiga (1 tk), Lego WeDo 2,0  põhikomplekt (8 tk), Lego WeDo 2,0 laetav aku (4 tk), akulaadija (4 tk), Edisoni robot (8 tk), Edisoni roboti varuosade komplekt (2 tk), Edisoni matt (2 tk), Lihtsate ja motoriseeritud masinate komplekt (8 tk), Dash ja Dot robootikakomplekt (1 tk); LEGO Education WeDo 2.0 põhikomplekt (4tk); Edisoni robot V2.0 (5tk); LEGO Education Varuosad WeDo 2,0 (1tk); Edisoni roboti varuosad (1tk); LEGO Education klotsikast sinine (1tk); LEGO Education Mindstorms EV3 põhikomplekt (1tk); LEGO Education akulaadija 10V DC (1tk)				3,049.43 €		879.17 €		
196	Oskar Lutsu Palamuse Gümnaasium	Jõgeva maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt, 6 tk; Akulaadija 10V peenike pistik, 19 tk; WeDo 2.0 baaskomplekt, 13 tk; WeDo 2.0 laetav aku, 13 tk			3,102.76 €					
